Compound log K ow,WS (mg/L),MinPartialCharge,MaxPartialCharge,min projection (Å),S,rs/rp,∆Gs-m (J·m-2),MB contact angle (°),MB volume charge density δm (mol·m-3),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,SHAP_Compound log K ow,SHAP_WS (mg/L),SHAP_MinPartialCharge,SHAP_MaxPartialCharge,SHAP_min projection (Å),SHAP_S,SHAP_rs/rp,SHAP_∆Gs-m (J·m-2),SHAP_MB contact angle (°),SHAP_MB volume charge density δm (mol·m-3),SHAP_Pressure (kPa),SHAP_Measurement time (min),SHAP_Initial concentration of compound (mg/L),SHAP_pH
5.43,550.0,-0.196832219093921,0.29741248029618,4.04,1.161,2.641126121906559,0.1179739067929179,76.0,-57.45863621890632,1379.0,164.1,10.0,4.0,-0.8878291,-0.008616755,0.0018881173,0.0035903314,0.11283755,0.0060194726,5.412579,0.15545334,0.529941,-0.1125434,0.055783946,-0.1418929,0.0459277,0.57419825
5.43,551.0,0.803167780906079,1.29741248029618,4.04,1.161,2.641126121906559,0.1179739067929179,76.0,-57.45863621890632,1379.0,455.32,10.0,4.0,-0.8752667,0.008944756,-0.028242908,-0.0121668,0.11504721,0.0060194726,4.965963,0.16126335,0.5179536,-0.09846233,0.14684342,0.05309475,0.051174544,0.62367547
5.43,552.0,1.80316778090608,2.29741248029618,4.04,1.161,2.641126121906559,0.1179739067929179,76.0,-57.45863621890632,1379.0,1484.66,10.0,4.0,-0.64332604,0.0062058535,-0.030254679,-0.0121668,0.120527774,0.0060194726,5.021318,0.18806033,0.5202451,-0.08717312,0.1665212,-0.24250059,0.058560017,0.6998128
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.641126121906559,0.1179739067929179,76.0,-57.45863621890632,1379.0,5633.1,10.0,4.0,-0.64332604,0.006605086,-0.02161401,-0.0121668,0.12143649,0.0060194726,4.9665728,0.17581087,0.51905584,-0.07861496,0.1773141,-0.10952495,0.06169552,0.7001059
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.585391610815036,0.09457038567574785,40.6,-36.975729892298695,1379.0,128.99,10.0,4.0,-0.88984084,0.004916816,-0.01575432,-0.0121668,0.10009518,0.0018345019,3.4621649,-0.38360828,0.3665034,-0.6327223,-0.5913937,-0.47749594,0.2833232,0.43859735
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.585391610815036,0.09457038567574785,40.6,-36.975729892298695,1379.0,420.11,10.0,4.0,-0.8712184,0.004916816,-0.01575432,-0.0121668,0.10461442,0.0018345019,3.3959692,-0.35993063,0.17448215,-0.6994616,-0.22262116,0.02467499,0.24362618,0.5170769
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.585391610815036,0.09457038567574785,40.6,-36.975729892298695,1379.0,1457.23,10.0,4.0,-0.60945517,0.0047620283,-0.023834841,-0.0121668,0.1101737,0.0018345019,3.7800152,-0.3139851,0.20863159,-0.74002004,-0.19134186,-0.24187295,0.2558805,0.601582
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.585391610815036,0.09457038567574785,40.6,-36.975729892298695,1379.0,5629.31,10.0,4.0,-0.6059516,0.0048855613,-0.015229486,-0.0121668,0.122785375,0.0018345019,4.0688105,-0.17901352,0.2790738,-0.71486104,-0.076840185,0.6632189,0.27324918,0.60596657
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.641126121906559,0.11935496883297446,78.0,-11.128632016221124,1379.0,133.72,10.0,4.0,-0.9001033,0.00876322,-0.019346854,-0.0121668,0.1150004,0.0060194726,5.3186474,0.22916408,0.6571968,-0.6136741,0.04242879,0.037781533,0.11516306,0.7177219
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.641126121906559,0.11935496883297446,78.0,-11.128632016221124,1379.0,424.99,10.0,4.0,-0.89378405,0.00876322,-0.019346854,-0.0121668,0.11629043,0.0060194726,4.8775244,0.21759415,0.6428336,-0.69407934,0.13680704,0.21723911,0.11149193,0.7794574
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.641126121906559,0.11935496883297446,78.0,-11.128632016221124,1379.0,1469.58,10.0,4.0,-0.6559419,0.0072615035,-0.027427375,-0.0121668,0.11958581,0.0060194726,4.9725237,0.25384617,0.63645774,-0.7403003,0.12874497,-0.39501524,0.12599106,0.84026
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.641126121906559,0.11935496883297446,78.0,-11.128632016221124,1379.0,5625.81,10.0,4.0,-0.65243834,0.008523847,-0.01882202,-0.0121668,0.12143649,0.0060194726,4.8388577,0.2358302,0.6337566,-0.73416096,0.15216032,-0.1861823,0.12949187,0.84027255
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,1379.0,118.1,10.0,4.0,-0.8618933,0.0012087984,-0.0244566,-0.0121668,0.08688593,0.0018345019,-1.4147598,-1.5851763,0.06262543,0.301887,-2.3394473,-3.7149472,0.056817472,-0.28425816
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,1379.0,410.44,10.0,4.0,-0.7891151,0.0012087984,-0.0244566,-0.0121668,0.13163735,0.0018345019,-1.172927,-1.3080918,0.16250691,0.34097797,-1.9679424,-1.7548511,0.027708368,-0.18219432
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,1379.0,1456.5,10.0,4.0,-0.540313,0.0006851789,-0.03253712,-0.0121668,0.14129387,0.0018345019,0.7492656,-0.5301503,0.31916678,0.3650753,-0.96850055,0.8663888,0.060907587,0.28413275
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,1379.0,5612.33,10.0,4.0,-0.5110501,0.001104056,-0.023931768,-0.0121668,0.14518033,0.0018345019,1.1937497,-0.4363807,0.35503888,0.3631807,-0.84470093,1.8563246,0.06621353,0.28563774
2.31,765.7,-0.476625664235964,0.46009468700965,3.18,0.398999999999999,0.9007871690262358,0.17088633002738005,73.16,-84.00105815907246,517.107,10.0,0.001,6.5,0.077207,0.01964216,0.44476235,-0.15460806,-0.080729336,0.0018440405,-3.113251,-0.123251036,0.89232004,0.56460017,-0.2426978,0.58835083,-0.6537862,1.1467527
2.31,765.7,-0.476625664235964,0.46009468700965,3.18,0.398999999999999,0.9007871690262358,0.17088633002738005,73.16,-84.00105815907246,689.476,10.0,0.001,6.5,0.021030003,0.0091417115,0.33920428,-0.14383833,-0.05479833,0.0018440405,-3.0903585,-0.04981179,1.1102523,0.5675784,0.044668242,0.63191074,-0.5562553,1.1849604
2.31,765.7,-0.476625664235964,0.46009468700965,3.18,0.398999999999999,0.9007871690262358,0.17088633002738005,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,0.036911227,0.010635625,0.2813351,-0.13053086,-0.05479833,0.0018440405,-3.0785177,0.07721894,0.93833625,0.57097983,0.6265123,0.6150996,-0.5556965,1.170937
6.514,1.0,-0.254939806222316,0.348316233238509,3.82,0.021,1.3531007685925174,0.29707201767706276,73.16,-84.00105815907246,522.107,10.0,0.001,6.5,-1.1191859,-0.13531733,0.09960645,0.00717092,0.101846695,-0.04213631,2.3128955,0.47394246,0.98698246,0.46343532,0.049012154,0.09032146,-0.6285427,0.57548416
6.514,1.0,-0.254939806222316,0.348316233238509,3.82,0.021,1.3531007685925174,0.29707201767706276,73.16,-84.00105815907246,694.476,10.0,0.001,6.5,-0.9694013,-0.13292038,0.024466932,0.0069631715,0.08947849,-0.04213631,2.330297,0.39776582,1.2518615,0.470503,0.3199487,0.10425828,-0.52848595,0.5950494
6.514,1.0,-0.254939806222316,0.348316233238509,3.82,0.021,1.3531007685925174,0.29707201767706276,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,-1.0786073,-0.13265324,0.02591027,0.0069631715,0.08947849,-0.04213631,2.3188548,0.4550625,1.0501733,0.46067974,0.63574106,0.10172335,-0.5465685,0.59288156
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.23872806919326714,73.16,-84.00105815907246,519.107,10.0,0.001,6.5,0.29050803,0.022282656,0.15528974,0.035221923,-0.058671325,0.0018440405,-2.902066,0.49765998,0.97834885,0.66871834,-0.13427262,0.56890845,-0.5874491,1.2492874
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.23872806919326714,73.16,-84.00105815907246,691.476,10.0,0.001,6.5,0.20767663,0.009488882,0.08810493,0.03141979,-0.042995527,0.0018440405,-2.8789554,0.40568605,1.1549873,0.6710256,-0.032021478,0.64888066,-0.5137688,1.2572056
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.23872806919326714,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,0.2258896,0.011170526,0.10907272,0.03141979,-0.042995527,0.0018440405,-2.813377,0.45296597,0.9784811,0.6618627,0.5182117,0.62690896,-0.517866,1.2500995
5.813,0.2,-0.254939806222316,0.348316233238509,3.91,0.0839999999999998,1.2900386991677657,0.2852638733412134,73.16,-84.00105815907246,521.107,10.0,0.001,6.5,-1.8482645,0.22751291,0.14351484,0.009409202,0.52574295,0.0060194726,-1.6527054,1.1476644,1.060765,1.5101423,0.084941946,0.48673606,-0.36727977,1.255354
5.813,0.2,-0.254939806222316,0.348316233238509,3.91,0.0839999999999998,1.2900386991677657,0.2852638733412134,73.16,-84.00105815907246,693.476,10.0,0.001,6.5,-1.7496619,0.21191564,0.06621502,0.009201454,0.50400966,0.0060194726,-1.7187192,1.0578436,1.3050637,1.5133412,0.1851325,0.4872766,-0.3369899,1.2576423
5.813,0.2,-0.254939806222316,0.348316233238509,3.91,0.0839999999999998,1.2900386991677657,0.2852638733412134,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,-1.8588676,0.18868625,0.067658365,0.009201454,0.50400966,0.0060194726,-1.727379,1.1151406,1.102653,1.503518,0.48286852,0.4749925,-0.35936207,1.2507657
5.113,1.0,-0.254939806222316,0.348316233238499,3.76,0.147,1.2232205630354298,0.2735266507157418,73.16,-84.00105815907246,520.107,10.0,0.001,6.5,-0.624335,-0.1743743,0.132924,0.025756996,-0.00010834262,0.0018440409,-1.8497179,1.0705882,0.96570444,1.3970213,-0.23177382,0.37828806,-0.61039156,1.1976935
5.113,1.0,-0.254939806222316,0.348316233238499,3.76,0.147,1.2232205630354298,0.2735266507157418,73.16,-84.00105815907246,692.476,10.0,0.001,6.5,-0.36924425,-0.15217605,0.059995618,0.025549248,-0.029563256,0.0018440409,-1.7420791,1.0192218,1.2069812,1.4060365,0.30127054,0.39801577,-0.4498668,1.2384993
5.113,1.0,-0.254939806222316,0.348316233238499,3.76,0.147,1.2232205630354298,0.2735266507157418,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,-0.47844997,-0.15190889,0.06143896,0.025549248,-0.029563256,0.0018440409,-1.7604971,1.0765188,1.0043912,1.3945099,0.6100867,0.3897898,-0.4645463,1.2316053
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,525.107,10.0,0.001,6.5,-0.6259558,0.0032540502,-0.41468617,-0.026565352,0.3060986,0.0018345019,1.3852144,0.026979525,1.1126093,0.6592313,0.4341224,-8.040975e-05,-0.59751576,0.70395595
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,697.476,10.0,0.001,6.5,-0.52303606,-0.012174254,-0.08814969,-0.026020166,0.29323405,0.0018345019,1.4370435,0.041013855,1.3829082,0.6645131,1.1932008,0.0011291082,-0.22597806,0.7238071
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3358428916398393,0.11600657507093388,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,-0.6322417,-0.011089795,-0.08670635,-0.026020166,0.29323405,0.0018345019,1.3736467,-0.073292226,1.1814189,0.6672908,1.3389212,-0.007285602,-0.24478309,0.72273177
4.412,3.65,-0.476627457334124,0.459647297794559,4.07,0.21,1.1534049149378296,0.2618590870434741,73.16,-84.00105815907246,518.107,10.0,0.001,6.5,0.63508016,-0.013187254,0.5002789,0.035221923,0.39022335,0.0018440405,-2.1855204,0.55241174,0.98551863,0.7277532,0.032055892,0.4263669,-0.57920796,1.3351986
4.412,3.65,-0.476627457334124,0.459647297794559,4.07,0.21,1.1534049149378296,0.2618590870434741,73.16,-84.00105815907246,690.476,10.0,0.001,6.5,0.5771749,-0.012541702,0.36358798,0.035221923,0.3603108,0.0018440405,-2.206463,0.47036293,1.1844096,0.73006046,0.062355354,0.45754406,-0.50582385,1.3532114
4.412,3.65,-0.476627457334124,0.459647297794559,4.07,0.21,1.1534049149378296,0.2618590870434741,73.16,-84.00105815907246,861.845,10.0,0.001,6.5,0.5934206,-0.011770361,0.298998,0.03141979,0.3603108,0.0018440405,-2.2185524,0.5176429,1.0079031,0.72099,0.50213873,0.43561307,-0.5153455,1.332967
5.113,1.0,-0.254939806222316,0.348316233238499,3.76,0.147,1.2036289620123162,0.2049618041642735,25.3,-44.96817172711646,600.0,10.0,0.001,6.5,-2.5782638,-0.5637364,0.046028618,0.02656746,-0.0048481748,0.0018440405,-6.1831565,-0.9801808,-6.884195,-2.3134675,-1.0137554,0.17392975,-2.4846134,0.42978704
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,1.3144474853219257,0.0869272403959153,25.3,-44.96817172711646,600.0,10.0,0.001,6.5,-3.43032,-0.0016401861,-0.44001457,-0.023267018,0.14876573,0.0018345019,-28.130728,-2.4118803,-8.272053,-2.2316086,-0.917131,0.1250723,-2.2128549,0.22105987
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,123.04,10.0,4.0,-0.7027787,0.0008228213,-0.017711457,-0.0121668,0.118016355,0.0018345019,4.8805656,-0.44400018,0.24479592,0.34081382,-0.12981732,-0.05327759,0.08007959,0.4882037
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,421.86,10.0,4.0,-0.6906919,0.0008228213,-0.017711457,-0.0121668,0.119306386,0.0018345019,4.424425,-0.16859347,0.34890917,0.35662818,0.043089252,0.43944407,0.043932065,0.5562065
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,1475.07,10.0,4.0,-0.4702143,-0.0007523824,-0.017186625,-0.0121668,0.12354373,0.0018345019,4.4265156,-0.14816254,0.33274558,0.37467563,0.058686458,0.05147355,0.049733143,0.62470615
5.43,553.0,2.80316778090608,3.29741248029618,4.04,1.161,2.4085233582638534,0.10297190631324367,54.1,-90.61571972576098,1379.0,5622.93,10.0,4.0,-0.4702143,0.00050996087,-0.017186625,-0.0121668,0.12430602,0.0018345019,4.3777184,-0.15161256,0.33518246,0.37523758,0.059574217,0.1253181,0.049733143,0.62487894
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,250.0,90.0,100.0,7.1,0.32615912,-0.021265507,0.057284676,0.016656814,-0.031527385,0.0018440405,-2.3848922,-0.2513549,-0.6162213,0.5084937,0.70189875,0.4887299,0.11911735,1.9468052
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,500.0,90.0,100.0,7.1,0.24755676,-0.021265507,-0.013025395,0.016656814,-0.042105187,0.0018440405,-2.9859068,-0.3018801,-0.72508657,0.46552625,-0.3053996,0.4326044,-0.027949724,1.8784523
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,1000.0,90.0,100.0,7.1,0.22772932,0.01962025,0.007968743,0.009777617,-0.040947683,0.0018440405,-2.817863,-0.08301548,-0.9624971,0.46515018,0.3794376,0.4777663,-0.05368001,1.629649
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.0751460714316796,0.17142901418344006,14.4,-84.00105815907246,2000.0,90.0,100.0,7.1,0.43336484,0.019789195,0.024244936,0.009777617,-0.04049967,0.0018440405,-2.1408134,-0.11158743,-0.60921246,0.46200585,0.6406584,0.3823286,0.021122813,1.631491
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,250.0,90.0,100.0,7.1,-0.028848924,-0.0064691333,0.016227601,0.005552668,-0.012515987,0.0060194726,2.8868897,0.2657098,0.6322395,0.21909757,0.03114193,0.18603829,0.03785372,1.0465801
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,500.0,90.0,100.0,7.1,-0.035393402,-0.0064691333,0.00847662,0.005552668,-0.0137007665,0.0060194726,3.1496816,0.27088684,0.63929063,0.22184993,-0.0031409059,0.18267208,0.020851968,1.0087324
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,1000.0,90.0,100.0,7.1,-0.04809906,-0.0022915527,0.005171364,0.004700725,-0.011875116,0.0060194726,3.076046,0.29754937,0.6469529,0.2534389,0.43138918,0.15942848,0.007691684,0.9319752
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,1.9384872598378766,0.23921328735026767,73.5,-90.61571972576098,2000.0,90.0,100.0,7.1,-0.009625701,-0.002122609,0.007207869,0.004700725,-0.010690706,0.0060194726,3.505995,0.39661935,0.48388606,0.30851275,-0.057761904,0.06828699,0.009163985,0.95851386
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,250.0,90.0,100.0,7.1,-0.01452811,-0.006663958,0.020264983,0.005552668,-0.012268728,0.0060194726,2.9012191,0.27230293,0.52932274,0.21663214,0.062143367,0.18609829,0.03649305,1.1567367
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,500.0,90.0,100.0,7.1,-0.021072604,-0.006663958,0.0125140045,0.005552668,-0.013453507,0.0060194726,3.1457381,0.27747995,0.5364194,0.21938448,0.009587599,0.18273209,0.0194913,1.1181324
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,1000.0,90.0,100.0,7.1,-0.03532244,-0.0024049361,0.009122099,0.004700725,-0.011902857,0.0060194726,3.0558856,0.3055085,0.55249554,0.2505428,0.4368136,0.15688378,0.0074973684,1.0377116
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.1745838200142877,0.2302223260540754,67.2,-125.56044921332312,2000.0,90.0,100.0,7.1,0.003150919,-0.0022359923,0.008518514,0.004700725,-0.010718447,0.0060194726,3.4580836,0.3867802,0.37893647,0.3018954,-0.09899397,0.0641872,0.008969669,1.0682279
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,250.0,90.0,100.0,7.1,-0.25604236,-0.0039952407,0.019958038,0.005552668,-0.0120112235,0.0060194726,3.264378,0.19778107,-0.06552612,-0.06591729,-0.07468585,0.19662857,0.13043272,1.0450699
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,500.0,90.0,100.0,7.1,-0.26171345,-0.0039952407,0.012207059,0.005552668,-0.011034466,0.0060194726,3.5363374,0.20958315,-0.05437988,-0.05282053,-0.09164362,0.20175974,0.11343097,1.006788
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,1000.0,90.0,100.0,7.1,-0.27398434,0.00026378146,0.0088151535,0.004700725,-0.009931921,0.0060194726,3.419473,0.27871946,-0.022156933,-0.035211522,0.43660048,0.18531825,0.10140506,0.9160617
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.1983672383199228,43.7,-57.45863621890632,2000.0,90.0,100.0,7.1,-0.029452316,0.00043272477,0.008488988,0.004700725,-0.0087475125,0.0060194726,3.84061,0.43015507,0.13431588,-0.029370058,0.2543264,0.09110805,0.11752835,0.9302503
3.712,1000.0,-0.254939806228499,0.34831623179593,3.69,0.272999999999999,2.125696361371975,0.22200707772850026,61.4,-52.875307756804084,250.0,90.0,100.0,7.1,0.022371862,-0.011306411,0.018847344,0.005552668,-0.011850905,0.0060194726,3.0627398,0.2282403,0.5019201,-0.34929287,0.118949644,0.1813076,0.04838086,1.3364999
